,district
Agincourt North ,14
Agincourt South-Malvern West ,18
Alderwood ,16
Annex ,48
Avondale ,10
Banbury-Don Mills ,42
Bathurst Manor ,20
Bay-Cloverhill ,10
Bayview Village ,42
Bayview Woods-Steeles ,22
Bedford Park-Nortown ,22
Beechborough-Greenbrook ,10
Bendale South ,4
Bendale-Glen Andrew ,14
Birchcliffe-Cliffside ,46
Black Creek ,16
Blake-Jones ,6
Briar Hill-Belgravia ,6
Bridle Path-Sunnybrook-York Mills ,32
Broadview North ,16
Brookhaven-Amesbury ,18
Cabbagetown-South St.James Town ,16
Caledonia-Fairbank ,10
Casa Loma ,34
Centennial Scarborough ,24
Church-Wellesley ,14
Clairlea-Birchmount ,32
Clanton Park ,20
Cliffcrest ,42
Corso Italia-Davenport ,4
Danforth ,4
Danforth East York ,10
Don Valley Village ,24
Dorset Park ,14
Dovercourt Village ,12
Downsview ,24
Downtown Yonge East ,18
Dufferin Grove ,4
East End-Danforth ,24
East L'Amoreaux ,14
East Willowdale ,26
Edenbridge-Humber Valley ,42
Eglinton East ,16
Elms-Old Rexdale ,10
Englemount-Lawrence ,18
Eringate-Centennial-West Deane ,18
Etobicoke City Centre ,22
Etobicoke West Mall ,8
Fenside-Parkwoods ,14
Flemingdon Park ,10
Forest Hill North ,14
Forest Hill South ,22
Fort York-Liberty Village ,20
Glenfield-Jane Heights ,28
Golfdale-Cedarbrae-Woburn ,20
Greenwood-Coxwell ,16
Guildwood ,18
Harbourfront-CityPlace ,28
Henry Farm ,12
High Park North ,14
High Park-Swansea ,28
Highland Creek ,16
Hillcrest Village ,18
Humber Bay Shores ,14
Humber Heights-Westmount ,12
Humber Summit ,20
Humbermede ,14
Humewood-Cedarvale ,12
Ionview ,12
Islington ,22
Junction Area ,22
Junction-Wallace Emerson ,36
Keelesdale-Eglinton West ,8
Kennedy Park ,12
Kensington-Chinatown ,20
Kingsview Village-The Westway ,16
Kingsway South ,14
L'Amoreaux West ,14
Lambton Baby Point ,18
Lansing-Westgate ,38
Lawrence Park North ,10
Lawrence Park South ,20
Leaside-Bennington ,26
Little Portugal ,8
Long Branch ,24
Malvern East ,20
Malvern West ,20
Maple Leaf ,6
Markland Wood ,14
Milliken ,10
Mimico-Queensway ,40
Morningside ,18
Morningside Heights ,108
Moss Park ,22
Mount Dennis ,12
Mount Olive-Silverstone-Jamestown ,28
Mount Pleasant East ,12
New Toronto ,20
Newtonbrook East ,34
Newtonbrook West ,16
None,16
North Riverdale ,8
North St.James Town ,4
North Toronto ,6
O'Connor-Parkview ,14
Oakdale-Beverley Heights ,24
Oakridge ,20
Oakwood Village ,14
Old East York ,8
Palmerston-Little Italy ,6
Parkwoods-O'Connor Hills ,20
Pelmo Park-Humberlea ,28
Playter Estates-Danforth ,12
Pleasant View ,16
Princess-Rosethorn ,16
Regent Park ,12
Rexdale-Kipling ,6
Rockcliffe-Smythe ,42
Roncesvalles ,14
Rosedale-Moore Park ,48
Runnymede-Bloor West Village ,6
Rustic ,18
Scarborough Village ,12
South Eglinton-Davisville ,6
South Parkdale ,34
South Riverdale ,52
St Lawrence-East Bayfront-The Islands ,48
St.Andrew-Windfields ,38
Steeles ,14
Stonegate-Queensway ,48
Tam O'Shanter-Sullivan ,22
Taylor-Massey ,4
The Beaches ,24
Thistletown-Beaumond Heights ,14
Thorncliffe Park ,8
Trinity-Bellwoods ,14
University ,10
Victoria Village ,12
Wellington Place ,14
West Hill ,42
West Humber-Clairville ,48
West Queen West ,12
West Rouge ,32
Westminster-Branson ,20
Weston ,28
Weston-Pelham Park ,16
Wexford/Maryvale ,22
Willowdale West ,24
Willowridge-Martingrove-Richview ,26
Woburn North ,22
Woodbine Corridor ,24
Woodbine-Lumsden ,6
Wychwood ,18
Yonge-Bay Corridor ,6
Yonge-Doris ,10
Yonge-Eglinton ,12
Yonge-St.Clair ,8
York University Heights ,26
Yorkdale-Glen Park ,30
