,District
Agincourt North ,1
Agincourt South-Malvern West ,8
Alderwood ,4
Annex ,34
Avondale ,6
Banbury-Don Mills ,15
Bathurst Manor ,4
Bay-Cloverhill ,18
Bayview Village ,5
Bayview Woods-Steeles ,3
Bedford Park-Nortown ,8
Beechborough-Greenbrook ,1
Bendale-Glen Andrew ,11
Birchcliffe-Cliffside ,12
Black Creek ,2
Blake-Jones ,1
Briar Hill-Belgravia ,7
Broadview North ,2
Brookhaven-Amesbury ,2
Cabbagetown-South St.James Town ,7
Caledonia-Fairbank ,1
Casa Loma ,4
Centennial Scarborough ,3
Church-Wellesley ,15
Clairlea-Birchmount ,4
Clanton Park ,6
Cliffcrest ,1
Corso Italia-Davenport ,3
Danforth ,15
Danforth East York ,3
Don Valley Village ,1
Dorset Park ,9
Dovercourt Village ,18
Downsview ,6
Downtown Yonge East ,7
Dufferin Grove ,8
East End-Danforth ,11
East L'Amoreaux ,2
East Willowdale ,5
Edenbridge-Humber Valley ,2
Eglinton East ,1
Elms-Old Rexdale ,1
Englemount-Lawrence ,3
Eringate-Centennial-West Deane ,3
Etobicoke City Centre ,21
Etobicoke West Mall ,3
Flemingdon Park ,1
Forest Hill North ,5
Forest Hill South ,8
Fort York-Liberty Village ,15
Glenfield-Jane Heights ,2
Golfdale-Cedarbrae-Woburn ,7
Greenwood-Coxwell ,12
Guildwood ,3
Harbourfront-CityPlace ,15
Henry Farm ,7
High Park North ,10
High Park-Swansea ,14
Highland Creek ,3
Hillcrest Village ,2
Humber Bay Shores ,7
Humber Heights-Westmount ,1
Humber Summit ,6
Humbermede ,1
Humewood-Cedarvale ,6
Ionview ,2
Islington ,7
Junction Area ,19
Junction-Wallace Emerson ,14
Keelesdale-Eglinton West ,2
Kennedy Park ,2
Kensington-Chinatown ,6
Kingsview Village-The Westway ,3
Kingsway South ,7
L'Amoreaux West ,3
Lambton Baby Point ,5
Lansing-Westgate ,10
Lawrence Park North ,9
Lawrence Park South ,10
Leaside-Bennington ,10
Little Portugal ,13
Long Branch ,2
Malvern East ,4
Malvern West ,3
Maple Leaf ,1
Milliken ,12
Mimico-Queensway ,8
Morningside ,3
Morningside Heights ,7
Moss Park ,13
Mount Pleasant East ,11
New Toronto ,10
Newtonbrook East ,3
Newtonbrook West ,8
North Riverdale ,21
North St.James Town ,3
North Toronto ,19
O'Connor-Parkview ,2
Oakdale-Beverley Heights ,1
Oakridge ,3
Oakwood Village ,4
Old East York ,5
Palmerston-Little Italy ,7
Parkwoods-O'Connor Hills ,5
Pelmo Park-Humberlea ,2
Playter Estates-Danforth ,10
Pleasant View ,1
Princess-Rosethorn ,1
Regent Park ,3
Rockcliffe-Smythe ,1
Roncesvalles ,9
Rosedale-Moore Park ,24
Runnymede-Bloor West Village ,10
Scarborough Village ,1
South Eglinton-Davisville ,7
South Parkdale ,14
South Riverdale ,34
St Lawrence-East Bayfront-The Islands ,6
St.Andrew-Windfields ,9
Stonegate-Queensway ,4
Tam O'Shanter-Sullivan ,2
Taylor-Massey ,4
The Beaches ,19
Thistletown-Beaumond Heights ,4
Thorncliffe Park ,12
Trinity-Bellwoods ,12
University ,13
Victoria Village ,8
Wellington Place ,26
West Hill ,7
West Humber-Clairville ,12
West Queen West ,9
West Rouge ,5
Westminster-Branson ,3
Weston-Pelham Park ,1
Wexford/Maryvale ,11
Willowdale West ,6
Willowridge-Martingrove-Richview ,4
Woburn North ,19
Woodbine Corridor ,3
Woodbine-Lumsden ,4
Wychwood ,9
Yonge-Bay Corridor ,27
Yonge-Doris ,5
Yonge-Eglinton ,23
Yonge-St.Clair ,7
York University Heights ,37
Yorkdale-Glen Park ,15
none,39
